Name,NameAr,LocalizedName,BusinessType,OtherTypeName,IsPopularBusiness,TotalReviews,Rating,Id,ActiveStatus,OwnerAllowStatus,CertificationStatus
qasralawani,قصر الأواني,قصر الأواني,خدمات الأعمال,,False,61,1.46,96843,0,1,1
Uninted Homeware Company Nice,الشركة المتحدة للمستلزمات المنزلية نايس,الشركة المتحدة للمستلزمات المنزلية نايس,أخرى,,False,93,1.03,91608,0,1,1
Marwa Store,متجر مروه,متجر مروه,خدمات الأعمال,,False,88,5.0,48066,0,1,1
mdesign97,تصميم دعوات الكترونية للمناسبات,تصميم دعوات الكترونية للمناسبات,خدمات الأعمال,,False,84,5.0,317663,0,1,2
Muteb VIP Numbers,متعب للأرقام المميزة,متعب للأرقام المميزة,إلكترونيات,,False,59,5.0,253838,0,1,2
 ahmad audio systems store,متجر أحمد للأنظمة الصوتية والألكترونيات,متجر أحمد للأنظمة الصوتية والألكترونيات,إلكترونيات,,False,59,5.0,25650,0,1,1
Shoptouch,متجر شوب تتش,متجر شوب تتش,خدمات الأعمال,,False,57,5.0,246531,0,1,2
Enjaz Services Company,شركة إنجاز للخدمات ,شركة إنجاز للخدمات ,خدمات الأعمال,تقديم الخدمات للشركات المؤسسات ,False,54,5.0,276939,0,1,1
,سما وسيطة تسوق,سما وسيطة تسوق,خدمات الأعمال,,False,53,5.0,192491,0,1,2
Mahas Jewels,جواهر المها,جواهر المها,خدمات الأعمال,,False,53,5.0,60734,0,1,1
Squad Games,متجر سكواد,متجر سكواد,إلكترونيات,,False,52,5.0,234021,0,1,2
Rawanta Online,روانتا أونلاين,روانتا أونلاين,هدايا,,False,52,5.0,176943,0,1,1
Loud Crative,لاود الإبداعية,لاود الإبداعية,خدمات الأعمال,,False,51,5.0,254654,0,1,1
via flowerd,فيا فلاورد,فيا فلاورد,خدمات الأعمال,,False,50,5.0,268517,0,1,1
LS STICKERS,لـ,لـ,خدمات الأعمال,,False,50,5.0,121265,0,1,2
gifts sharif,هدايا شريف,هدايا شريف,خدمات الأعمال,,False,207,4.95,107585,0,1,2
lantanaashop,متجر لانتانا للعطور,متجر لانتانا للعطور,الجمال والصحة,,False,115,4.95,2120,0,1,1
,متجر بياض,متجر بياض,هدايا,,False,88,4.95,229217,0,1,2
Gua shop,وسيطة  غين,وسيطة  غين,خدمات الأعمال,,False,87,4.95,258159,0,1,2
taf3elat store,متجر تفعيلات,متجر تفعيلات,خدمات الأعمال,,False,85,4.95,198084,0,1,2
Nada accessories,مؤسسة قطرات الندى للتجاره والتسويق,مؤسسة قطرات الندى للتجاره والتسويق,إلكترونيات,,False,75,4.95,94049,0,1,1
Shopping Nouf ,نوف وسيطه مواقع ,نوف وسيطه مواقع ,خدمات الأعمال,,False,75,4.95,57012,0,1,2
Babysspot,بيبي ز سبوت,بيبي ز سبوت,خدمات الأعمال,,False,75,4.95,17595,0,1,1
Raseel Gift,رسيل للهدايا,رسيل للهدايا,خدمات الأعمال,,False,493,4.94,17184,0,1,1
Rafal Rings Trading Est,مؤسسة خواتم رافال التجارية,مؤسسة خواتم رافال التجارية,خدمات الأعمال,,False,334,4.94,204828,0,1,1
Hisham led,مؤسسه هشام لبيع انارات الليد ,مؤسسه هشام لبيع انارات الليد ,خدمات الأعمال,,False,157,4.94,172702,0,1,1
otlat sayeh,عطلات سائح,عطلات سائح,أخرى,وكالة سفر,False,144,4.94,78646,0,1,1
Lory land Transportation Application Est,مؤسسة تطبيق لوري لتوجيه مركبات الاجرة,مؤسسة تطبيق لوري لتوجيه مركبات الاجرة,السيارات,,False,103,4.94,112595,0,1,1
PC SHOP,بي سي شوب ,بي سي شوب ,أخرى,متجر تجميعات واجهزة مكتبية وطابعات وشاشات ولاب توب ,False,101,4.94,94622,0,1,1
Joud Ads,جود للدعاية والاعلان,جود للدعاية والاعلان,خدمات الأعمال,,False,100,4.94,181183,0,1,1
Zafeen Studio,مؤسسة زفن للتجارة والتسويق,مؤسسة زفن للتجارة والتسويق,خدمات الأعمال,,False,70,4.94,80116,0,1,1
B R A N D S ,براندس,براندس,خدمات الأعمال,,False,65,4.94,161389,0,1,2
Your Mediator,وسيطك  الإلكتروني,وسيطك  الإلكتروني,خدمات الأعمال,,False,53,4.94,168868,0,1,2
Cvaley,سي فالي,سي فالي,خدمات الأعمال,,False,476,4.93,96402,0,1,1
Smart Stores,المتجر الذكى,المتجر الذكى,إلكترونيات,,False,345,4.93,176761,0,1,1
OneBrand,ون براند,ون براند,إلكترونيات,,False,108,4.93,204189,0,1,1
mediator shopping center,راما اونلاين ,راما اونلاين ,خدمات الأعمال,,False,92,4.93,38142,0,1,2
3persons,3 أشخاص,3 أشخاص,خدمات الأعمال,,False,71,4.93,40364,0,1,2
Nawal intermediated online shopping,نوال وسيطة تسوق للمواقع العالمية,نوال وسيطة تسوق للمواقع العالمية,خدمات الأعمال,,False,67,4.93,92315,0,1,2
Bintan Sky Coffee Store,متجر قهوة بنتان سكاي,متجر قهوة بنتان سكاي,خدمات الأعمال,,False,57,4.93,252720,0,1,1
TURTUS,تورتس,تورتس,إلكترونيات,,False,57,4.93,218002,0,1,1
Majed Abdullah Al Shahrani Contracting Est,مؤسسة ماجد عبدالله الشهراني للمقاولات,مؤسسة ماجد عبدالله الشهراني للمقاولات,هدايا,,False,56,4.93,244174,0,1,1
Cardial watches,كارديال للساعات,كارديال للساعات,إلكترونيات,,False,3333,4.92,77092,0,1,1
,منصة اسأل محامي,منصة اسأل محامي,خدمات الأعمال,,False,623,4.92,258697,0,1,1
Kroot Commercial Corporation,مؤسسة كروت التجارية,مؤسسة كروت التجارية,خدمات الأعمال,,False,466,4.92,89771,0,1,1
RimaLeen,ريمالين,ريمالين,الجمال والصحة,,False,168,4.92,63828,0,1,1
tootaboutique,توتا بوتيك,توتا بوتيك,خدمات الأعمال,,False,131,4.92,173557,0,1,2
Mohammed Shaja Mohammed Aldosari Est,موسسة محمد شاجع محمد الدوسري للاتصالات والتقنية,موسسة محمد شاجع محمد الدوسري للاتصالات والتقنية,خدمات الأعمال,,False,99,4.92,88274,0,1,1
Amelaty Web,موقع عاملتي الرقمي,موقع عاملتي الرقمي,خدمات الأعمال,,False,53,4.92,261892,0,1,1
shaebiat rifi,شعبيات ريفي,شعبيات ريفي,أطعمة ومشروبات,,False,50,4.92,107514,0,1,1
Lululashes14 ,رموش لولو ,رموش لولو ,الجمال والصحة,,False,393,4.91,64629,0,1,2
BOHY11,بوح,بوح,أخرى,,False,130,4.91,39582,0,1,1
Chic Shopaholic,محبي التسوق,محبي التسوق,خدمات الأعمال,,False,129,4.91,131486,0,1,2
ViPER,فايبر عالم من الترفيه بين يديك,فايبر عالم من الترفيه بين يديك,خدمات الأعمال,,False,128,4.91,195015,0,1,2
jomaaan1441,وسيطة مواقع أروى وفي رواية جمان  ,وسيطة مواقع أروى وفي رواية جمان  ,خدمات الأعمال,,False,96,4.91,129645,0,1,2
Cutestore6,كيوت ستور,كيوت ستور,الجمال والصحة,,False,881,4.9,1045,0,1,1
Saudi Follower Store,سعودي فـولور,سعودي فـولور,خدمات الأعمال,,False,435,4.9,218848,0,1,1
Barllina,بارلينا ,بارلينا ,الجمال والصحة,,False,393,4.9,238860,0,1,1
MHATAT,محطات,محطات,المنزل,,False,151,4.9,27433,0,1,1
Hajer Art,هاجر آرت,هاجر آرت,خدمات الأعمال,,False,146,4.9,1323,0,1,1
Aratopia,أراتوبيا,أراتوبيا,إلكترونيات,,False,125,4.9,13558,0,1,1
Orkonalina,اركن,اركن,خدمات الأعمال,,False,112,4.9,24242,0,1,1
HAZELNUTSA,مؤسسة بندقة للتجارة,مؤسسة بندقة للتجارة,أطعمة ومشروبات,,False,72,4.9,129527,0,1,1
Solid wheels,مؤسسة عجلات الصلبة,مؤسسة عجلات الصلبة,السيارات,,False,52,4.9,140272,0,1,1
StarTech eShop,متجر نجمة التقنية,متجر نجمة التقنية,إلكترونيات,,False,51,4.9,131291,0,1,1
Elegant Design,تصاميم انيقه,تصاميم انيقه,خدمات الأعمال,,False,368,4.89,205,0,1,1
Nrma,نرما,نرما,إلكترونيات,,False,171,4.89,249824,0,1,1
,كورد,كورد,حفلات,,False,98,4.89,141238,0,1,1
Elegance Lovers,إلقانس لوفرز ,إلقانس لوفرز ,خدمات الأعمال,,False,967,4.88,51267,0,1,1
Healthy life,هيلثي لايف,هيلثي لايف,أخرى,,False,255,4.88,8889,0,1,1
KWAIDI,كوايدي,كوايدي,خدمات الأعمال,,False,211,4.88,4341,0,1,1
Monato Store,موناتو ستور,موناتو ستور,خدمات الأعمال,,False,392,4.87,49372,0,1,1
store hal wasat,متجر حل وسط,متجر حل وسط,خدمات الأعمال,,False,149,4.87,79331,0,1,1
Markatsa,ماركات أمريكية بأقل الأسعار,ماركات أمريكية بأقل الأسعار,خدمات الأعمال,,False,302,4.86,1428,0,1,1
Woow Store,منصة واو,منصة واو,خدمات الأعمال,,False,57,4.86,71373,0,1,1
