,Name,NameAr,LocalizedName,BusinessType,OtherTypeName,IsPopularBusiness,TotalReviews,Rating,Id,ActiveStatus,OwnerAllowStatus,CertificationStatus
1500,VIGOIR ARABIA ,فيجور العربية ,فيجور العربية ,إلكترونيات,,False,13,1.85,113480,0,1,1
1501,Riashapp,رياش اب,رياش اب,المنزل,,False,12,1.83,79729,0,1,1
1502,Mohammed Jawad BuKhamseen for home appliances,مؤسسة محمد جواد صالح بوخمسين,مؤسسة محمد جواد صالح بوخمسين,إلكترونيات,,False,10,1.8,60202,0,1,1
1515,Key Card,كي كارد,كي كارد,إلكترونيات,منتجات رقمية,False,11,1.73,203165,0,1,1
1516,Danube Online,الدانوب أونلاين,الدانوب أونلاين,خدمات الأعمال,,False,15,1.67,91371,0,1,1
1523,zKcM,زكسم,زكسم,خدمات الأعمال,,False,31,1.58,232851,0,1,1
1526,Monh Market,تطبيق مونة,تطبيق مونة,خدمات الأعمال,,False,16,1.5,105227,0,1,1
1527,HalaYalla,هلايلا,هلايلا,حفلات,,False,16,1.5,38989,0,1,1
1528,Alkhayal AlNAJDI,متجر الخيال النجدي,متجر الخيال النجدي,ازياء,,False,10,1.5,217630,0,1,1
1542,qasralawani,قصر الأواني,قصر الأواني,خدمات الأعمال,,False,61,1.46,96843,0,1,1
1543,LAVERNE PERFUMES,لافيرن للعطور,لافيرن للعطور,الجمال والصحة,,False,20,1.45,259407,0,1,1
1544,wafi store,وافي فون,وافي فون,إلكترونيات,,False,11,1.45,161790,0,1,1
1546,BACK CARE,باك كير,باك كير,المنزل,,False,12,1.42,120421,0,1,1
1547,Sheta and Saif,الشتاء والصيف,الشتاء والصيف,إلكترونيات,,False,45,1.41,20209,0,1,1
1548,zkham,زخم,زخم,خدمات الأعمال,,False,17,1.41,217025,0,1,1
1549,AHGstore,ايه اتش جي,ايه اتش جي,خدمات الأعمال,,False,10,1.4,233055,0,1,1
1550,GOATKSA,متجر قوت السعودية,متجر قوت السعودية,خدمات الأعمال,,False,10,1.4,228086,0,1,1
1552,ALEZZOUD,العز للعود ,العز للعود ,الجمال والصحة,,False,15,1.33,250430,0,1,1
1557,SB store,متجر اس بي,متجر اس بي,إلكترونيات,العاب بلاستيشن وبي سي,False,13,1.31,115416,0,1,2
1560,IBRAHEEM ALQURASHI,إبراهيم القرشي,إبراهيم القرشي,خدمات الأعمال,,False,29,1.28,86363,0,1,1
1563,ASSAF,عساف,عساف,الجمال والصحة,بيع العود والعطور,False,47,1.21,268249,0,1,1
1568,Tplus,ت بلس,ت بلس,منتجات رقمية,منتجات رقميه ,False,18,1.11,327359,0,1,2
1569,Tajer BV for IT co Damenkom,شركة تاجر بى فى لتقنية المعلومات ضامنكم ,شركة تاجر بى فى لتقنية المعلومات ضامنكم ,خدمات الأعمال,,False,16,1.06,261635,0,1,1
